Bug ID,Bigrams
1403245,"['created attachment', 'screen shot', 'read screenshot', 'attachment screen', 'png text']"
1402984,"['created attachment', 'pm png', 'attachment screen', 'screen shot']"
1338687,"['debug debug', 'debug test', 'macosx txt', 'txt gz', 'com job']"
1371769,"['pretty annoying', 'become pretty']"
1342149,"['see view', 'view selection', 'click view', 'selection source', 'text right']"
1420168,"['poc seems', 'seems like', 'still able', 'something missing', 'still something']"
1346803,"['worker build', 'build ipc', 'debug build', 'build src', 'home worker']"
1391536,"['using letters', 'created attachment', 'consider using', 'please see', 'screenshot please']"
1358660,"['com job', 'windows txt', 'mozilla com', 'txt gz', 'debug test']"
1409108,"['created attachment', 'screenshot png', 'attachment screenshot']"
1332534,"['mozilla org', 'info open', 'new html', 'er site', 'prompt displays']"
1368653,"['circle state', 'reload becomes', 'disabled circle', 'enabled circle']"
1365000,"['created attachment', 'attachment screenshot', 'outer shadow']"
1386213,"['location column', 'landing location', 'library try', 'library shows', 'press pdf']"
1340421,"['job id', 'com job', 'gmail com', 'id repo', 'live backing']"
1395094,"['created attachment', 'attachment macos', 'png see', 'see screenshot', 'overlap png']"
1395599,"['top left', 'left edge', 'edge attempt', 'top add', 'new tab']"
1387402,"['thread png', 'screenshot see', 'see thread', 'png regression', 'regression range']"
1420304,"['lunch firefox', 'firefox nightly', 'stats mozilla', 'mac stats', 'com report']"
1351641,"['route installer', 'installer yes', 'chart attachment', 'attachment details', 'flow chart']"
1387752,"['theme looses', 'attached demo', 'nightly windows', 'accent theme', 'windows see']"
1388163,"['via page', 'page action', 'states much', 'spec document', 'added via']"
1355325,"['history sidebar', 'sidebar switcher']"
1355946,"['usr lib', 'configure usr', 'thread keyword', 'pipe lpthread', 'compiler supports']"
1328923,"['inbound debug', 'gmail com', 'inbound builds', 'debug test', 'id repo']"
1386294,"['created attachment', 'unicode form', 'safari steps', 'xn apple', 'system ubuntu']"
1328380,"['inbound builds', 'builds inbound', 'id repo', 'job id', 'de job']"
1379043,"['music video', 'youtube music', 'nightly version', 'disk storage', 'firefox build']"
1391448,"['search bar', 'created attachment', 'attachment short', 'far enough', 'updates ago']"
1334453,"['debug debug', 'debug test', 'mozilla job', 'job mozilla']"
1386617,"['debian testing', 'nightly debian', 'since nightly', 'created attachment', 'attachment since']"
1392190,"['spoofing test', 'macos google', 'google com', 'domain spoofing', 'attachment u']"
1334028,"['inbound builds', 'id repo', 'builds mozilla', 'gmail com', 'debug test']"
1387311,"['marking note', 'tab expected', 'easily confused', 'personal container', 'bar overwrites']"
1358723,"['popup xml', 'bindings popup', 'ja components', 'nightly omni', 'omni ja']"
1332671,"['reproduce open', 'button becomes', 'browser restart', 'defaults button', 'affected versions']"
1393353,"['powerful feature', 'users get', 'recent downloads', 'downloads menu', 'get utility']"
1364108,"['created jpg', 'see attached', 'jpg firefox', 'attached screenshot', 'firefox version']"
1356707,"['browser xul', 'content tab', 'tab strip', 'overflowed tab', 'browser content']"
1358425,"['start chrome', 'chrome bindings', 'global bindings', 'chrome global']"
1353061,"['frame chrome', 'test chrome', 'process screenshot', 'info chrome', 'taking screenshot']"
1388056,"['webpack require', 'macos version', 'js anonymous', 'js webpack', 'defined learn']"
1354179,"['conn manager', 'longer needed', 'bug disabling', 'http conn', 'prioritization moved']"
1345940,"['results date', 'date format', 'visit column', 'one defined', 'column changed']"
1351649,"['suite info', 'test suite', 'upload dir', 'parent warning', 'mozilla inbound']"
1339480,"['main thread', 'parent process', 'expensive part']"
1387654,"['resizing correctly', 'containers exceeding', 'attachment screenshot', 'sure whether', 'created attachment']"
1328384,"['task runs', 'live backing', 'inbound task', 'runs artifacts', 'id repo']"
1334968,"['mozilla gecko', 'id steps', 'expected results', 'build id', 'gecko firefox']"
1332548,"['com job', 'public live', 'artifacts public', 'job id', 'backing log']"
1367419,"['ship could', 'stephen said', 'compact themes', 'could potentially']"
1401811,"['created attachment', 'extension looks', 'extension icon', 'perhaps sized', 'looks poorly']"
1363293,"['html io', 'load html', 'perf html', 'io see', 'io twice']"
1364874,"['res formats', 'visual artifacts', 'disabling open', 'days ago', 'restarting firefox']"
1329112,"['get progress', 'updated progress']"
1391276,"['created attachment', 'jump mov', 'attachment jump']"
1399122,"['condensed theme', 'str use', 'macos str', 'search bar', 'bar results']"
1392193,"['domain names', 'google com', 'png firefox', 'domain spoofing', 'spoofing test']"
1362282,"['created attachment', 'pm png', 'attachment screen', 'screen shot', 'png see']"
1402552,"['tracking requested', 'screenshot tracking', 'attached screenshot', 'tab color', 'created attachment']"
1338702,"['mozilla com', 'browser chrome', 'txt gz', 'com job', 'macosx txt']"
1404825,"['throughout firefox', 'horribly limited', 'mouse event', 'allow mouse', 'event listeners']"
1389519,"['startup profile', 'getters defined', 'needs fixing', 'payments manifest', 'currently loaded']"
1377960,"['leak also', 'data leak', 'addons may', 'record data', 'may record']"
1390639,"['created attachment', 'attachment repro', 'every exit', 'titles animate', 'addons os']"
1360199,"['central source', 'remove toolbar', 'toolbar png', 'source browser', 'last usage']"
1404330,"['installer window', 'installer observe', 'firefox logo', 'low rez', 'observe firefox']"
1326841,"['browser simply', 'simply downloads', 'open online', 'online de', 'x browser']"
1377220,"['hamburger menu', 'created attachment', 'menu png', 'attachment hamburger', 'png sync']"
1358426,"['settimeout handler', 'set label', 'js set', 'timer chrome', 'js settimeout']"
1402117,"['created attachment', 'attachment png', 'folder icon', 'platforms needs', 'png folder']"
1355327,"['bookmarks sidebar', 'sidebar switcher']"
1398178,"['dark background', 'background theme', 'dell via', 'e dark', 'tabs text']"
1357591,['visit com']
1379347,"['download icon', 'great feature', 'file thanks', 'icon get', 'attached file']"
1408726,"['accessible reports', 'signing cert', 'reports error', 'error sec', 'sec error']"
1372469,"['public logs', 'logs live', 'id repo', 'artifacts public', 'live backing']"
1373321,"['may need', 'bug around']"
